Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,-0.064059,-0.0022909,-0.049505,0,0,0,19.525,0.29993,-0.0014461,-0.00022725,0.22651,-0.00039565,0.49465,0,0,0,0,0,0,package://amr_8/meshes/base.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://amr_8/meshes/base.STL,,baseframe2-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
casterhub1,0.021124,1.1393E-05,-0.037006,0,0,0,0.096702,9.6191E-05,1.8378E-09,1.4686E-05,9.5049E-05,4.5372E-08,7.6453E-05,0,0,0,0,0,0,package://amr_8/meshes/casterhub1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://amr_8/meshes/casterhub1.STL,,casterhub3-3,Origin_casterhub1joint,Axis_casterhub1joint,casterhub1joint,continuous,0.50163,0.24239,0,0,0,0,base,0,0,1,,,,,,,,,,,,
casterwheel1,-6.8018E-10,1.0217E-13,-3.9451E-10,0,0,0,0.17494,0.00013656,-1.5509E-28,-3.4686E-14,0.00025252,2.7903E-20,0.00013656,0,0,0,0,0,0,package://amr_8/meshes/casterwheel1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://amr_8/meshes/casterwheel1.STL,,casterwheel3-6,Origin_casterwheel1joint,Axis_casterwheel1joint,casterwheel1joint,continuous,0.037,0,-0.078,0,0,0,casterhub1,0,1,0,,,,,,,,,,,,
casterhub2,0.021124,1.1393E-05,-0.037006,0,0,0,0.096702,9.6191E-05,1.8378E-09,1.4686E-05,9.5049E-05,4.5372E-08,7.6453E-05,0,0,0,0,0,0,package://amr_8/meshes/casterhub2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://amr_8/meshes/casterhub2.STL,,casterhub3-2,Origin_casterhub2joint,Axis_casterhub2joint,casterhub2joint,continuous,-0.50172,0.24406,0,0,0,0,base,0,0,1,,,,,,,,,,,,
casterwheel2,-6.8013E-10,-5.5511E-17,-3.9253E-10,0,0,0,0.17494,0.00013656,2.5266E-27,-3.4686E-14,0.00025252,2.7903E-20,0.00013656,0,0,0,0,0,0,package://amr_8/meshes/casterwheel2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://amr_8/meshes/casterwheel2.STL,,casterwheel3-7,Origin_casterwheel2joint,Axis_casterwheel2joint,casterwheel2joint,continuous,0.037,0,-0.078,0,0,0,casterhub2,0,1,0,,,,,,,,,,,,
casterhub3,0.021124,1.1393E-05,-0.037006,0,0,0,0.096702,9.6191E-05,1.8378E-09,1.4686E-05,9.5049E-05,4.5372E-08,7.6453E-05,0,0,0,0,0,0,package://amr_8/meshes/casterhub3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://amr_8/meshes/casterhub3.STL,,casterhub3-4,Origin_casterhub3joint,Axis_casterhub3joint,casterhub3joint,continuous,0.50163,-0.24209,0,0,0,0,base,0,0,1,,,,,,,,,,,,
casterwheel3,-6.8013E-10,5.5511E-17,-3.9258E-10,0,0,0,0.17494,0.00013656,-2.0304E-25,-3.4686E-14,0.00025252,2.6103E-20,0.00013656,0,0,0,0,0,0,package://amr_8/meshes/casterwheel3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://amr_8/meshes/casterwheel3.STL,,casterwheel3-5,Origin_casterwheel3joint,Axis_casterwheel3joint,casterwheel3joint,continuous,0.037,0,-0.078,0,0,0,casterhub3,0,1,0,,,,,,,,,,,,
casterhub4,0.021124,1.1393E-05,-0.037006,0,0,0,0.096702,9.6191E-05,1.8378E-09,1.4686E-05,9.5049E-05,4.5372E-08,7.6453E-05,0,0,0,0,0,0,package://amr_8/meshes/casterhub4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://amr_8/meshes/casterhub4.STL,,casterhub3-1,Origin_casterhub4joint,Axis_casterhub4joint,casterhub4joint,continuous,-0.50233,-0.2419,0,0,0,0,base,0,0,1,,,,,,,,,,,,
casterwheel4,-6.8013E-10,-2.7756E-17,-3.9256E-10,0,0,0,0.17494,0.00013656,-1.6203E-28,-3.4686E-14,0.00025252,2.7903E-20,0.00013656,0,0,0,0,0,0,package://amr_8/meshes/casterwheel4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://amr_8/meshes/casterwheel4.STL,,casterwheel3-8,Origin_casterwheel4joint,Axis_casterwheel4joint,casterwheel4joint,continuous,0.037,0,-0.078,0,0,0,casterhub4,0,1,0,,,,,,,,,,,,
left_drive_wheel,3.724E-08,-0.02302,-6.1415E-08,0,0,0,0.70556,0.0011582,4.4879E-10,1.1745E-10,0.002089,-7.4013E-10,0.0011582,0,0,0,0,0,0,package://amr_8/meshes/left_drive_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://amr_8/meshes/left_drive_wheel.STL,,drivewheel2-3,Origin_left_drive_wheel_joint,Axis_left_drive_wheel_joint,left_drive_wheel_joint,continuous,-0.00021568,-0.195,-0.053698,0,0,0,base,0,1,0,,,,,,,,,,,,
right_drive_wheel,3.724E-08,0.02302,6.1415E-08,0,0,0,0.70556,0.0011582,-4.4879E-10,-1.1745E-10,0.002089,-7.4013E-10,0.0011582,0,0,0,0,0,0,package://amr_8/meshes/right_drive_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://amr_8/meshes/right_drive_wheel.STL,,drivewheel2-7,Origin_right_drive_wheel_joint,Axis_right_drive_wheel_joint,right_drive_wheel_joint,continuous,-0.00021568,0.195,-0.053698,0,0,0,base,0,-1,0,,,,,,,,,,,,
lidar,-0.02994,0.019468,0.024735,0,0,0,0.073085,1.9581E-05,-1.0393E-07,-4.2839E-07,2.4125E-05,9.4271E-09,4.1418E-05,0,0,0,0,0,0,package://amr_8/meshes/lidar.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://amr_8/meshes/lidar.STL,,lidar1-1,Origin_lidarjoint,,lidarjoint,fixed,-0.47725,-0.011631,0.034,0,0,0,base,0,0,0,,,,,,,,,,,,
